x:186, y:  0, r:  164, g:  159, b:  153
x:187, y:  0, r:  166, g:  159, b:  153
x:188, y:  0, r:  163, g:  158, b:  152
x:189, y:  0, r:  164, g:  159, b:  153
x:190, y:  0, r:  165, g:  160, b:  154
x:191, y:  0, r:  165, g:  160, b:  154
x:192, y:  0, r:  165, g:  160, b:  154
x:193, y:  0, r:  164, g:  159, b:  153
x:194, y:  0, r:  164, g:  159, b:  153
x:195, y:  0, r:  164, g:  159, b:  153
x:196, y:  0, r:  166, g:  160, b:  154
x:197, y:  0, r:  166, g:  160, b:  154
x:198, y:  0, r:  169, g:  162, b:  156
x:199, y:  0, r:  169, g:  162, b:  156
x:200, y:  0, r:  166, g:  161, b:  157
x:201, y:  0, r:  167, g:  162, b:  158
x:202, y:  0, r:  167, g:  162, b:  157
x:203, y:  0, r:  166, g:  161, b:  156
x:204, y:  0, r:  166, g:  163, b:  157
x:205, y:  0, r:  165, g:  163, b:  157
x:206, y:  0, r:  165, g:  163, b:  157
x:207, y:  0, r:  165, g:  163, b:  157
x:208, y:  0, r:  166, g:  163, b:  157
x:209, y:  0, r:  164, g:  161, b:  155
x:210, y:  0, r:  167, g:  163, b:  158
x:211, y:  0, r:  168, g:  164, b:  159
x:212, y:  0, r:  168, g:  164, b:  159
x:213, y:  0, r:  169, g:  164, b:  159
x:214, y:  0, r:  167, g:  164, b:  159
x:215, y:  0, r:  166, g:  163, b:  158
x:216, y:  0, r:  163, g:  162, b:  157
x:217, y:  0, r:  161, g:  160, b:  155
x:218, y:  0, r:  161, g:  160, b:  155
x:219, y:  0, r:  163, g:  162, b:  157
x:220, y:  0, r:  167, g:  164, b:  159
x:221, y:  0, r:  163, g:  162, b:  157
x:222, y:  0, r:  163, g:  162, b:  157
x:223, y:  0, r:  162, g:  161, b:  156
x:224, y:  0, r:  161, g:  160, b:  155
x:225, y:  0, r:  163, g:  162, b:  157
x:226, y:  0, r:  165, g:  164, b:  159
x:227, y:  0, r:  165, g:  164, b:  159
x:228, y:  0, r:  165, g:  164, b:  159
x:229, y:  0, r:  165, g:  163, b:  158
x:230, y:  0, r:  165, g:  164, b:  159
x:231, y:  0, r:  165, g:  163, b:  158
x:232, y:  0, r:  166, g:  164, b:  159
x:233, y:  0, r:  165, g:  163, b:  158
x:234, y:  0, r:  162, g:  161, b:  156
x:235, y:  0, r:  164, g:  163, b:  158
x:236, y:  0, r:  163, g:  162, b:  157
x:237, y:  0, r:  164, g:  163, b:  158
x:238, y:  0, r:  164, g:  163, b:  158
x:239, y:  0, r:  165, g:  164, b:  159
x:240, y:  0, r:  164, g:  163, b:  158
x:241, y:  0, r:  164, g:  163, b:  158
x:242, y:  0, r:  163, g:  162, b:  157
x:243, y:  0, r:  165, g:  164, b:  159
x:244, y:  0, r:  165, g:  164, b:  159
x:245, y:  0, r:  167, g:  166, b:  161
x:246, y:  0, r:  168, g:  166, b:  161
x:247, y:  0, r:  166, g:  165, b:  160
x:248, y:  0, r:  167, g:  166, b:  161
x:249, y:  0, r:  165, g:  164, b:  159
x:250, y:  0, r:  165, g:  164, b:  159
x:251, y:  0, r:  165, g:  164, b:  159
x:252, y:  0, r:  164, g:  163, b:  158
x:253, y:  0, r:  163, g:  163, b:  158
x:254, y:  0, r:  163, g:  165, b:  159
x:255, y:  0, r:  165, g:  166, b:  160
x:256, y:  0, r:  165, g:  166, b:  160
x:257, y:  0, r:  164, g:  166, b:  159
x:258, y:  0, r:  164, g:  164, b:  159
x:259, y:  0, r:  166, g:  164, b:  159
x:260, y:  0, r:  164, g:  166, b:  160
x:261, y:  0, r:  164, g:  165, b:  159
x:262, y:  0, r:  165, g:  166, b:  160
x:263, y:  0, r:  165, g:  166, b:  160
x:264, y:  0, r:  164, g:  165, b:  159
x:265, y:  0, r:  164, g:  165, b:  159
x:266, y:  0, r:  164, g:  165, b:  159
x:267, y:  0, r:  164, g:  165, b:  159
x:268, y:  0, r:  165, g:  166, b:  160
x:269, y:  0, r:  165, g:  166, b:  160
x:270, y:  0, r:  164, g:  165, b:  159
x:271, y:  0, r:  164, g:  165, b:  159
x:272, y:  0, r:  164, g:  165, b:  159
x:273, y:  0, r:  165, g:  166, b:  160
x:274, y:  0, r:  164, g:  165, b:  159
x:275, y:  0, r:  166, g:  167, b:  161
x:276, y:  0, r:  164, g:  165, b:  159
x:277, y:  0, r:  165, g:  166, b:  160
x:278, y:  0, r:  165, g:  166, b:  160
x:279, y:  0, r:  164, g:  165, b:  159
x:280, y:  0, r:  165, g:  166, b:  160
x:281, y:  0, r:  164, g:  165, b:  159
x:282, y:  0, r:  164, g:  165, b:  159
x:283, y:  0, r:  165, g:  166, b:  160
x:284, y:  0, r:  164, g:  165, b:  159
x:285, y:  0, r:  164, g:  165, b:  159
x:286, y:  0, r:  163, g:  164, b:  158
x:287, y:  0, r:  162, g:  163, b:  157
x:288, y:  0, r:  165, g:  166, b:  160
x:289, y:  0, r:  162, g:  163, b:  157
x:290, y:  0, r:  162, g:  163, b:  157
x:291, y:  0, r:  165, g:  166, b:  160
x:292, y:  0, r:  164, g:  165, b:  159
x:293, y:  0, r:  165, g:  166, b:  160
x:294, y:  0, r:  164, g:  165, b:  159
x:295, y:  0, r:  165, g:  166, b:  160
x:296, y:  0, r:  164, g:  165, b:  159
x:297, y:  0, r:  165, g:  166, b:  160
x:298, y:  0, r:  164, g:  165, b:  159
x:299, y:  0, r:  165, g:  166, b:  160
x:300, y:  0, r:  165, g:  166, b:  160
x:301, y:  0, r:  165, g:  166, b:  160
x:302, y:  0, r:  163, g:  164, b:  158
x:303, y:  0, r:  163, g:  164, b:  158
x:304, y:  0, r:  165, g:  166, b:  160
x:305, y:  0, r:  165, g:  166, b:  160
x:306, y:  0, r:  164, g:  167, b:  160
x:307, y:  0, r:  163, g:  167, b:  159
x:308, y:  0, r:  163, g:  166, b:  159
x:309, y:  0, r:  164, g:  167, b:  160
x:310, y:  0, r:  163, g:  166, b:  159
x:311, y:  0, r:  164, g:  167, b:  160
x:312, y:  0, r:  163, g:  166, b:  159
x:313, y:  0, r:  164, g:  167, b:  160
x:314, y:  0, r:  164, g:  167, b:  160
x:315, y:  0, r:  164, g:  167, b:  160
x:316, y:  0, r:  164, g:  167, b:  160
x:317, y:  0, r:  164, g:  167, b:  160
x:318, y:  0, r:  163, g:  166, b:  159
x:319, y:  0, r:  165, g:  166, b:  160
x:320, y:  0, r:  163, g:  164, b:  158
x:321, y:  0, r:  165, g:  166, b:  160
x:322, y:  0, r:  161, g:  163, b:  158
x:323, y:  0, r:  162, g:  165, b:  158
x:324, y:  0, r:  163, g:  166, b:  159
x:325, y:  0, r:  162, g:  165, b:  158
x:326, y:  0, r:  163, g:  166, b:  159
x:327, y:  0, r:  160, g:  163, b:  156
x:328, y:  0, r:  165, g:  168, b:  161
x:329, y:  0, r:  163, g:  166, b:  159
x:330, y:  0, r:  164, g:  167, b:  160
x:331, y:  0, r:  164, g:  167, b:  160
x:332, y:  0, r:  162, g:  165, b:  158
x:333, y:  0, r:  162, g:  165, b:  158
x:334, y:  0, r:  161, g:  164, b:  157
x:335, y:  0, r:  163, g:  166, b:  159
x:336, y:  0, r:  163, g:  166, b:  159
x:337, y:  0, r:  163, g:  166, b:  159
