x:288, y:  0, r:   15, g:   14, b:   23
x:289, y:  0, r:   15, g:   14, b:   22
x:290, y:  0, r:   15, g:   14, b:   23
x:291, y:  0, r:   14, g:   14, b:   23
x:292, y:  0, r:   16, g:   16, b:   23
x:293, y:  0, r:   16, g:   16, b:   25
x:294, y:  0, r:   14, g:   14, b:   24
x:295, y:  0, r:   15, g:   15, b:   23
x:296, y:  0, r:   14, g:   14, b:   22
x:297, y:  0, r:   14, g:   14, b:   22
x:298, y:  0, r:   14, g:   14, b:   22
x:299, y:  0, r:   14, g:   14, b:   22
x:300, y:  0, r:   14, g:   14, b:   22
x:301, y:  0, r:   15, g:   15, b:   23
x:302, y:  0, r:   15, g:   15, b:   23
x:303, y:  0, r:   15, g:   15, b:   23
x:304, y:  0, r:   16, g:   16, b:   23
x:305, y:  0, r:   16, g:   16, b:   26
x:306, y:  0, r:   16, g:   16, b:   27
x:307, y:  0, r:   14, g:   18, b:   26
x:308, y:  0, r:   15, g:   18, b:   27
x:309, y:  0, r:   14, g:   17, b:   26
x:310, y:  0, r:   13, g:   16, b:   25
x:311, y:  0, r:   14, g:   17, b:   26
x:312, y:  0, r:   14, g:   15, b:   25
x:313, y:  0, r:   14, g:   16, b:   24
x:314, y:  0, r:   13, g:   16, b:   25
x:315, y:  0, r:   14, g:   17, b:   26
x:316, y:  0, r:   14, g:   16, b:   28
x:317, y:  0, r:   14, g:   17, b:   27
x:318, y:  0, r:   15, g:   16, b:   27
x:319, y:  0, r:   17, g:   17, b:   27
x:320, y:  0, r:   15, g:   15, b:   23
x:321, y:  0, r:   17, g:   17, b:   25
x:322, y:  0, r:   17, g:   17, b:   25
x:323, y:  0, r:   18, g:   18, b:   26
x:324, y:  0, r:   16, g:   16, b:   24
x:325, y:  0, r:   19, g:   19, b:   27
x:326, y:  0, r:   18, g:   18, b:   26
x:327, y:  0, r:   19, g:   19, b:   27
x:328, y:  0, r:   19, g:   18, b:   27
x:329, y:  0, r:   19, g:   18, b:   27
x:330, y:  0, r:   19, g:   18, b:   28
x:331, y:  0, r:   19, g:   19, b:   29
x:332, y:  0, r:   19, g:   18, b:   31
x:333, y:  0, r:   17, g:   19, b:   30
x:334, y:  0, r:   19, g:   19, b:   29
x:335, y:  0, r:   18, g:   18, b:   28
x:336, y:  0, r:   18, g:   18, b:   28
x:337, y:  0, r:   19, g:   17, b:   28
x:338, y:  0, r:   19, g:   19, b:   28
x:339, y:  0, r:   18, g:   17, b:   25
x:340, y:  0, r:   18, g:   19, b:   24
x:341, y:  0, r:   18, g:   18, b:   27
x:342, y:  0, r:   16, g:   20, b:   27
x:343, y:  0, r:   16, g:   20, b:   29
x:344, y:  0, r:   16, g:   19, b:   29
x:345, y:  0, r:   16, g:   20, b:   26
x:346, y:  0, r:   17, g:   20, b:   27
x:347, y:  0, r:   20, g:   20, b:   28
x:348, y:  0, r:   21, g:   22, b:   30
x:349, y:  0, r:   21, g:   20, b:   31
x:350, y:  0, r:   18, g:   22, b:   31
x:351, y:  0, r:   19, g:   22, b:   31
x:352, y:  0, r:   16, g:   19, b:   28
x:353, y:  0, r:   17, g:   21, b:   30
x:354, y:  0, r:   18, g:   21, b:   30
x:355, y:  0, r:   18, g:   21, b:   30
x:356, y:  0, r:   17, g:   21, b:   30
x:357, y:  0, r:   16, g:   20, b:   29
x:358, y:  0, r:   17, g:   21, b:   30
x:359, y:  0, r:   17, g:   20, b:   30
x:360, y:  0, r:   14, g:   20, b:   29
x:361, y:  0, r:   16, g:   21, b:   30
x:362, y:  0, r:   16, g:   20, b:   29
x:363, y:  0, r:   19, g:   23, b:   32
x:364, y:  0, r:   20, g:   23, b:   31
x:365, y:  0, r:   19, g:   23, b:   29
x:366, y:  0, r:   20, g:   21, b:   29
x:367, y:  0, r:   20, g:   23, b:   30
x:368, y:  0, r:   19, g:   22, b:   29
x:369, y:  0, r:   20, g:   23, b:   30
x:370, y:  0, r:   19, g:   22, b:   29
x:371, y:  0, r:   18, g:   21, b:   28
x:372, y:  0, r:   19, g:   22, b:   28
x:373, y:  0, r:   19, g:   22, b:   29
x:374, y:  0, r:   19, g:   22, b:   31
x:375, y:  0, r:   17, g:   20, b:   29
x:376, y:  0, r:   20, g:   23, b:   32
x:377, y:  0, r:   18, g:   21, b:   30
x:378, y:  0, r:   18, g:   21, b:   30
x:379, y:  0, r:   20, g:   23, b:   32
